sample_id,collector_id,miluska_id,date,year,river,location,r_mile,lat,long,live_dead,sex,stage,total,fork,weight_lbs,weight_g,cohort,first_age,second_age,final_age,scale_age,rps,rpsm,age_afs,skip_spawn,ovary_weight,egg_stage,age_id,comments,,,,,
131,131,3631,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,447,1.4,635.0288,2013,7,,7,7,yes,2,5,N,,,,,,,,,
132,132,3632,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,435,1.2,544.3104,2015,5,,5,5,yes,1,4,N,,,,,,,,,
133,133,3633,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,433,1.5,680.388,2015,5,,5,6,no,0,6,N,,,,,,,,,
134,134,3634,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,ripe,,398,1.1,498.9512,2017,3,,3,,no,0,,N,,,,Full of eggs!,,,,,
135,135,3635,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,426,1.9,861.8248,2015,5,,5,5,no,0,5,N,,,,,,,,,
136,136,3636,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,424,,0,2015,5,,5,,no,,,,,,,no weight or scales,,,,,
137,137,3637,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,ripe,,480,1.8,816.4656,2013,7,,7,7,yes,1,6,N,,,,,,,,,
138,138,3638,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,442,,0,2020,,,,,no,,,,,,,no weight or scales,,,,,
139,139,3639,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,446,,0,2014,6,,6,,no,,,,,,,no weight or scales,,,,,
140,140,3640,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,ripe,,443,,0,2013,7,,7,,no,,,,,,,no weight or scales. Lots of eggs!,,,,,
141,141,3641,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,464,1.2,544.3104,2015,5,,5,,no,,,,,,,,,,,,
142,142,3642,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,436,,0,2013,7,,7,,no,,,,,,,,,,,,
143,143,3643,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,412,1.5,680.388,2015,5,,5,5,no,0,5,N,,,,fresh dead,,,,,
144,144,3644,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,469,1.4,635.0288,2013,7,,7,,no,,,,,,,,,,,,
145,145,3645,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,447,1.3,589.6696,2012,8,,8,,no,,,,,,,no scale sample taken,,,,,
146,146,3646,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,433,,0,2015,5,,5,,no,,,,,,,,,,,,
147,147,3647,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,unknown,unknown,,428,,0,2014,6,,6,,no,,,,,,,,,,,,
148,FL1,3846,02/18/2020,2020,Saint Johns River,357,,,,live,male,,,396,,,2020,,,,,no,,,,,,220,,,,,,
149,FL2,3847,02/18/2020,2020,Saint Johns River,357,,,,live,female,,,415,,,2020,,,,,no,,,,,,221,,,,,,
150,FL3,3848,02/18/2020,2020,Saint Johns River,357,,,,live,male,,,446,,,2020,,,,,no,,,,,,222,,,,,,
